gender,age,entry_year,field_of_study,most_used,usage,usage_schedule,device,habits1,habits2,habits3,habits4,study1,study2,study3,study4,mental1,mental2,mental3,mental4,lifestyle1,lifestyle2,lifestyle3,lifestyle4,usagerate1,usagerate2,usagerate3,usagerate4,usagerate5,usagerate6,track_usage,usage_per_day,reduce
Nam,18 - 20,K19,Công nghệ Thông tin,YouTube,0:30:00,Buổi sáng,Ti vi,3,4,2,2,2,3,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,Có,0:30:55,"Có, thành công"
Nam,18 - 20,K19,Quản trị Kinh doanh,"Facebook, TikTok, YouTube",5:00:00,"Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",4,3,2,4,3,3,3,4,2,2,4,4,3,4,4,4,3,3,5,4,4,3,Có,,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,Discord,4:00:00,Buổi tối,Máy tính để bàn,5,5,1,2,4,5,5,4,2,1,4,1,5,1,1,1,1,1,1,1,1,1,Không,,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, TikTok",0:40:00,Không có khung giờ cố định,Điện thoại di động,4,4,2,3,3,4,1,3,1,1,1,1,2,1,2,1,2,1,2,1,1,1,Có,0:40:00,"Có, thành công"
Nữ,18 - 20,K19,Truyền thông đa phương tiện,"Facebook, Threads, TikTok",20:00:00,Cả ngày,Điện thoại di động,4,3,4,4,3,4,3,2,5,3,5,1,4,2,2,2,5,1,3,2,2,1,Không,,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, TikTok",24:00:00,Cả ngày,"Điện thoại di động, Máy tính bảng, Máy tính xách tay, Máy tính để bàn",4,4,1,2,4,3,3,4,2,2,1,4,4,3,3,3,4,4,4,4,4,4,Có,24:00:00,"Có, thành công"
Nữ,18 - 20,K17,Quản trị Kinh doanh,"Facebook, Instagram, TikTok",5:30:00,"Trước khi đi ngủ, Không có khung giờ cố định","Điện thoại di động, Máy tính xách tay",5,4,2,5,5,5,3,5,2,3,3,3,5,3,5,5,4,2,3,4,5,5,Không,,"Có, nhưng không thành công"
Nữ,18 - 20,K19,Quản trị Kinh doanh,"Facebook, TikTok, YouTube",3:00:00,"Buổi tối, Trước khi đi ngủ",Điện thoại di động,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,Có,1:00:00,"Có, nhưng không thành công"
Nữ,18 - 20,K17,Quản trị Kinh doanh,"Facebook, Instagram, TikTok",3:00:00,"Buổi sáng, Buổi tối, Trước khi đi ngủ",Điện thoại di động,4,4,4,4,3,5,5,4,2,5,3,3,3,3,3,5,4,2,3,5,5,1,Có,3:00:00,Không
Nam,Trên 23,K20,Thiết kế,"Facebook, Instagram, TikTok",7:20:20,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",4,3,2,4,3,3,3,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,Có,20:20:20,Không
Nữ,18 - 20,K24,Ngôn ngữ học,"Instagram, TikTok, YouTube",5:30:00,Cả ngày,Điện thoại di động,4,5,3,3,3,4,5,3,2,1,4,3,3,3,4,3,3,3,3,3,3,3,Không,6:00:00,"Có, nhưng không thành công"
Nữ,18 - 20,K19,Quản trị Kinh doanh,"Instagram, TikTok",3:00:00,"Buổi trưa, Buổi tối, Trước khi đi ngủ",Điện thoại di động,3,3,3,3,2,3,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,Có,4:00:00,Không
Nữ,18 - 20,K19,Thiết kế,"Instagram, Threads, TikTok",4:00:00,"Buổi sáng, Buổi tối","Điện thoại di động, Máy tính xách tay",3,4,3,4,2,3,4,1,1,2,4,1,1,1,1,3,1,2,1,1,3,4,Không,4:30:30,"Có, thành công"
Nữ,18 - 20,K19,Công nghệ Truyền Thông,"Instagram, YouTube, Twitter/X",3:59:59,"Buổi sáng, Buổi chiều","Điện thoại di động, Máy tính bảng, Máy tính xách tay, Máy tính để bàn",3,3,4,2,4,2,4,3,5,5,5,5,5,3,5,4,4,2,2,1,1,2,Không,3:03:03,"Có, thành công"
Nữ,18 - 20,K20,Công nghệ Truyền Thông,"Instagram, Threads, Twitter/X",5:00:00,"Buổi sáng, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",5,5,2,3,2,4,4,2,2,3,5,3,5,2,2,2,1,2,2,2,3,3,Không,,"Có, thành công"
Nữ,18 - 20,K20,Thiết kế,"Facebook, TikTok, LinkedIn",10:00:00,Cả ngày,"Điện thoại di động, Máy tính xách tay",5,5,4,4,2,3,3,4,3,5,5,3,5,3,3,3,3,3,3,4,4,3,Có,10:00:00,"Có, nhưng không thành công"
Nữ,18 - 20,K20,Quản trị Kinh doanh,"Facebook, Threads, TikTok",12:00:00,"Buổi trưa, Buổi tối, Trước khi đi ngủ",Điện thoại di động,3,4,2,4,4,2,4,5,4,3,5,3,3,4,5,5,3,2,4,4,4,4,Có,12:00:00,"Có, nhưng không thành công"
Nữ,18 - 20,K20,Công nghệ Truyền Thông,"Facebook, Threads, YouTube",9:00:00,Trước khi đi ngủ,Điện thoại di động,5,4,5,5,4,4,4,5,4,3,3,2,4,5,4,4,3,3,4,3,4,4,Không,,Không
Nữ,18 - 20,K20,Quản trị Kinh doanh,"Facebook, Threads, TikTok",6:00:00,"Buổi trưa, Buổi tối","Điện thoại di động, Máy tính xách tay",5,5,4,5,2,4,4,5,3,2,2,2,4,2,4,4,4,3,4,2,2,3,Có,6:34:00,"Có, thành công"
Nữ,18 - 20,K20,Công nghệ Thông tin,"Facebook, Threads, TikTok",7:34:01,"Buổi sáng, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",4,4,3,4,4,5,5,2,3,2,2,2,3,3,2,2,2,3,3,2,3,3,Có,7:34:00,"Có, thành công"
Nữ,18 - 20,K19,Thiết kế,"TikTok, YouTube",1:00:00,Buổi tối,"Điện thoại di động, Máy tính bảng",2,3,3,2,5,3,3,4,4,3,2,2,1,1,1,1,3,2,4,3,3,3,Không,2:00:00,"Có, thành công"
Nữ,18 - 20,K19,Ngôn ngữ học,"Facebook, Threads",20:00:00,"Buổi sáng, Buổi chiều, Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính bảng, Máy tính xách tay, Máy tính để bàn",4,3,4,4,3,3,3,3,4,2,3,5,5,5,5,5,5,5,4,3,4,2,Có,12:00:00,Không
